"word","abcon"
"for",0.951
"that",0.639
"is",1.053
"on",1.871
"with",1.892
"was",0.987
"the",1.768
"at",0.984
"not",0.521
"it",1.464
"be",0.507
"by",0.543
"are",1.086
"have",0.681
"he",2.456
"will",1.024
"his",3.381
"an",2.927
"this",0.708
"their",1.511
"who",1.003
"they",0.989
"but",0.396
"were",1.387
"we",1.045
"more",1.392
"up",4.316
"you",3.71
"about",1.954
"would",0.69
"which",1.041
"out",1.303
"all",0.734
"after",0.742
"first",3.223
"do",0.649
"time",2.742
"when",0.403
"over",2.39
"last",0.709
"new",1.722
"other",1.218
"her",5.586
"people",6.335
"into",1.707
"our",1.294
"there",1.049
"she",5.17
"could",0.519
"some",2.074
"them",1.898
"what",0.457
"so",0.381
"no",0.786
"like",0.556
"if",0.349
"get",3.37
"him",5.179
"game",6.229
"back",3.207
"because",0.488
"now",0.599
"before",0.522
"any",0.561
"off",2.983
"make",2.793
"day",5.673
"where",0.829
"down",2.303
"your",3.568
"home",6.535
"my",2.578
"good",0.625
"those",0.84
"how",0.408
"take",2.667
"high",2.728
"then",0.525
"much",0.718
"go",3.72
"think",0.436
"old",5.089
"see",2.973
"say",1.808
"under",2.098
"us",2.246
"these",1.009
"me",3.802
"play",5.034
"help",1.998
"long",1.598
"does",0.897
"around",2.633
"police",6.464
"school",6.746
"another",1.233
"country",5.89
"today",1.191
"same",0.742
"run",5.278
"night",5.191
"each",1.578
"here",1.434
"money",6.057
"put",4.457
"am",2.554
"man",6.875
"too",0.443
"better",0.649
"show",5.277
"hit",4.852
"every",1.097
"big",4.442
"share",2.879
"away",2.773
"look",4.117
"give",2.148
"later",0.584
"full",2.594
"open",3.417
"find",2.035
"head",7.443
"car",8.322
"hard",1.513
"close",3.773
"party",4.392
"behind",3.369
"face",6.368
"cut",5.748
"why",0.406
"house",8.179
"story",5.207
"food",7.543
"morning",4.101
"person",6.312
"outside",4.597
"ball",6.744
"yesterday",1.268
"bring",3.393
"hand",6.804
"stop",4.327
"bad",0.849
"fall",5.037
"love",0.39
"hold",5.621
"buy",3.578
"child",7.032
"drive",5.893
"stay",2.856
"book",7.047
"room",7.772
"talk",2.67
"break",5.752
"build",4.348
"pretty",0.872
"above",2.184
"star",5.905
