category_main,category_sub,category,word
Action,Force,Action_Force,"blow, bump, clap, cut, hit, kick, knock, push, shake, slap, spill, splash, throw, pull, hurt, break, rip, open"
Action,Athletic_Play,Action_Athletic_Play,"dance, swim, chase, skate, play, hide, read"
Action,Create,Action_Create,"build, draw, make, paint, write, do"
Action,Stop_Slow,Action_Stop_Slow,"finish, stop, wait, stay, close"
Action,Transfer,Action_Transfer,"give, bring, carry, take, catch, put, get, share, hold, find, buy, have, help"
Action,Emotion,Action_Emotion,"like, love, smile, tickle, kiss, hug, cry, hate"
Action,Eating_Drinking,Action_Eating_Drinking,"eat, drink, bite, cook, feed, lick, taste"
Action,Communication,Action_Communication,"see, look, touch, watch, hear, listen, sing, talk, say, show, point, cry"
Action,Mental,Action_Mental,"think, pretend, wish"
Action,Locomotion,Action_Locomotion,"climb, run, walk, jump, go, sit, stand, chase"
Action,Release,Action_Release,"dump, fall, drop"
Action,Body,Action_Body,"sit, stand"
Action,Circadian,Action_Circadian,"sleep, wake"
Action_Cleaning,,Action_Cleaning,"brush, clean, wash, wipe, dry, sweep"
Social,,Social,"bye, hello, hi, nap, no, pattycake, peekaboo, please, yes"
Animals,,Animals,"bird, duck, fish, horse, dog, bear, cat, cow, elephant, pig, frog, kitty, monkey, bee, puppy, bug, bunny, butterfly, lion, turtle, mouse, chicken, tiger, sheep, ant, giraffe, animal, zebra, owl, squirrel, alligator, turkey, deer, penguin, lamb, rooster, goose, pony, wolf, donkey, moose, hen"
Body,,Body,"eyes, eye, nose, ears, ear, foot, feet, arm, finger, hair, head, mouth, bellybutton, hand, hands, leg, legs, toes, toe, tummy, knee, tongue, tooth, face, cheek, chin, lips, shoulder, ankle"
Clothing,,Clothing,"shoes, shoe, sneaker, snowsuit, pants, diaper, shirt, hat, pajamas, coat, socks, sock, boots, jacket, zipper, shorts, sweater, dress, belt, underpants, slipper, slippers, gloves, jeans, mittens, sneakers, tights, scarf, beads, bib, button, necklace"
Colors,,Colors,"blue, green, red, orange, yellow, black, brown, white"
Description,Size_Quantity,Description_Size_Quantity,"big, heavy, high, long, full, empty, small, tall, wide, narrow, tiny"
Description,Personal_Condition,Description_Personal_Condition,"thirsty, tired, hungry, hurt, sleepy, sick, asleep, awake"
Description,Tactile_Condition,Description_Tactile_Condition,"dirty, yucky, sticky, clean"
Description,Speed,Description_Speed,"fast, slow"
Description,Sound,Description_Sound,"noisy, quiet, loud"
Description,Illumination,Description_Illumination,"dark, light"
Description,Physical_Condition,Description_Physical_Condition,"hard, soft, cold, hot, wet"
Description,Emotion,Description_Emotion,"happy, scared, sad, mad"
Description,Quality,Description_Quality,"better, cute, nice, old, pretty, bad, good, fine, naughty, new"
Kitchen,,Kitchen,"cup, spoon, bowl, bottle, fork, plate, knife, glass, dishes, dish"
Food_Drink,,Food_Drink,"hamburger, pretzel, strawberry, donut, potato, cookie, juice, apple, banana, cheese, milk, cracker, pizza, icecream, grapes, bread, cereal, cake, candy, egg, frenchfries, carrots, chicken, popcorn, fish, corn, pancakes, pancake, raisin, sandwich, spaghetti, chocolate, noodles, toast, yogurt, peanutbutter, strawberries, chips, butter, applesauce, cheerios, burger, beans, peas, pumpkin, soup, jelly, coffee, popsicle, potatoes, pretzels, muffin, meat, pickle, doughnut, nuts, gum, greenbeans, lollipop, soda, sauce, jello, melon, pudding, salt, coke, vanilla, tuna, food, ice, vitamins"
Household,,Household,"playpen, box, keys, tissue, kleenex, basket,  drawer, lamp, jar, tray, glasses, light, medicine, money, napkin, paper, penny, picture, purse"
Plumbing,,Plumbing,"bath, bathtub, sink, potty, shower"
